split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.12,1,Blue,top,Kumo,Evil Geniuses,Volibear,Ornn,Syndra,Kalista,Shen,Jayce,1696,1,2,0,3,9,3,1,0,0,0,0,0,0,0,0.3184,0.4245,8048,284.717,0.172275,510.0708,579.1627,12,0.4245,1,0.0354,7,21,0.7429,10513,6778,239.7877,0.19379,9608,206,193,13,7,4,7.2877,3928,4728,85,2634,3772,55,1294,956,30,5448,6841,120,4132,6335,97,1316,506,23
Summer,0,1,10.12,2,Blue,jng,Svenskeren,Evil Geniuses,Kindred,Ornn,Syndra,Kalista,Shen,Jayce,1696,1,1,1,5,9,3,0,0,0,0,0,0,0,0,0.3184,0.4245,11019,389.8231,0.235872,679.0684,324.658,3,0.1061,22,0.7783,2,55,1.9458,10262,6527,230.908,0.186613,9025,180,37,143,65,27,6.3679,3145,3302,59,2791,2977,53,354,325,6,5475,5584,92,3839,4116,70,1636,1468,22
Summer,0,1,10.12,3,Blue,mid,Jiizuke,Evil Geniuses,Twisted Fate,Ornn,Syndra,Kalista,Shen,Jayce,1696,1,5,0,2,9,3,0,0,0,0,0,0,0,0,0.3184,0.4245,12307,435.3892,0.263443,390.3892,191.1792,12,0.4245,1,0.0354,4,28,0.9906,14437,10702,378.6085,0.305988,12400,258,233,25,17,4,9.1274,3644,4189,74,3428,5087,96,216,-898,-22,6616,7301,129,5107,7612,145,1509,-311,-16
Summer,0,1,10.12,4,Blue,bot,Bang,Evil Geniuses,Aphelios,Ornn,Syndra,Kalista,Shen,Jayce,1696,1,1,1,4,9,3,0,0,0,0,0,0,0,0,0.3184,0.4245,10699,378.5024,0.229022,211.4151,392.7594,15,0.5307,7,0.2476,6,37,1.309,11787,8052,284.8585,0.230217,10425,283,275,8,4,4,10.0118,3421,3107,85,3862,3426,95,-441,-319,-10,5339,5555,141,5493,5889,143,-154,-334,-2
Summer,0,1,10.12,5,Blue,sup,Zeyzal,Evil Geniuses,Braum,Ornn,Syndra,Kalista,Shen,Jayce,1696,1,0,1,6,9,3,0,0,0,0,0,0,0,1,0.3184,0.4245,4643,164.2571,0.0993878,409.9882,476.4269,43,1.5212,7,0.2476,13,66,2.3349,6652,2917,103.1958,0.0833927,5775,30,30,0,0,0,1.0613,2119,2670,13,2179,2739,14,-60,-69,-1,3383,4355,21,3122,3351,19,261,1004,2
Spring,0,1,10.03,1,Blue,top,Kumo,Evil Geniuses,Renekton,Elise,Nautilus,Tahm Kench,Qiyana,Yasuo,1803,0,1,4,2,5,22,0,0,0,0,0,0,0,0,0.1664,0.8985,9054,301.2978,0.193726,831.7804,625.0582,20,0.6656,4,0.1331,10,29,0.9651,9422,5468,181.9634,0.230201,9225,225,223,2,1,0,7.4875,2969,4118,71,3651,4710,79,-682,-592,-8,4618,6517,115,5754,8048,139,-1136,-1531,-24
Spring,0,1,10.03,2,Blue,jng,Svenskeren,Evil Geniuses,Jarvan IV,Elise,Nautilus,Tahm Kench,Qiyana,Yasuo,1803,0,1,8,3,5,22,0,0,0,0,0,0,0,0,0.1664,0.8985,6400,212.9784,0.136939,873.9101,835.4077,8,0.2662,14,0.4659,8,30,0.9983,7516,3562,118.5358,0.149963,7350,126,20,106,90,8,4.193,2959,2419,50,3494,3133,54,-535,-714,-4,4337,4118,81,4839,4748,81,-502,-630,0
Spring,0,1,10.03,3,Blue,mid,Jiizuke,Evil Geniuses,Rumble,Elise,Nautilus,Tahm Kench,Qiyana,Yasuo,1803,0,2,6,3,5,22,0,0,0,0,0,0,0,1,0.1664,0.8985,18506,615.8403,0.395969,630.2163,568.5191,15,0.4992,3,0.0998,7,25,0.8319,9597,5643,187.787,0.237568,8725,204,182,22,19,0,6.7887,2950,4141,70,3653,4691,84,-703,-550,-14,5053,6872,114,6197,7585,134,-1144,-713,-20
Spring,0,1,10.03,4,Blue,bot,Bang,Evil Geniuses,Xayah,Elise,Nautilus,Tahm Kench,Qiyana,Yasuo,1803,0,0,1,3,5,22,0,0,0,0,0,0,0,0,0.1664,0.8985,9032,300.5657,0.193256,259.8669,235.807,13,0.4326,6,0.1997,7,37,1.2313,10508,6554,218.1032,0.275919,14532,280,256,24,21,0,9.3178,3041,2548,76,3671,3099,93,-630,-551,-17,4700,4609,125,5597,4958,131,-897,-349,-6
Summer,0,1,10.13,6,Red,top,Kumo,Evil Geniuses,Volibear,Nidalee,Syndra,Malphite,Ornn,Sett,2997,1,4,1,5,13,12,1,0,0,0,0,0,0,0,0.2603,0.5005,22306,446.5666,0.20664,1000.1001,1815.6557,28,0.5606,7,0.1401,12,64,1.2813,18427,12038,241.001,0.236328,16233,357,334,23,13,1,7.1471,3104,4323,78,3006,4433,73,98,-110,5,4432,6302,108,4985,7080,117,-553,-778,-9
Summer,0,1,10.13,7,Red,jng,Svenskeren,Evil Geniuses,Trundle,Nidalee,Syndra,Malphite,Ornn,Sett,2997,1,1,4,8,13,12,0,0,0,0,1,0,1,0,0.2603,0.5005,8091,161.982,0.0749541,1144.2242,1124.1041,16,0.3203,46,0.9209,17,120,2.4024,13039,6650,133.1331,0.130548,11525,194,71,123,77,3,3.8839,2717,2718,48,2710,2506,55,7,212,-7,4100,4180,75,4117,4298,91,-17,-118,-16
Summer,0,1,10.13,8,Red,mid,Jiizuke,Evil Geniuses,Orianna,Nidalee,Syndra,Malphite,Ornn,Sett,2997,1,2,4,5,13,12,0,0,0,0,0,0,0,0,0.2603,0.5005,30347,607.5475,0.281131,457.2172,478.979,26,0.5205,21,0.4204,14,78,1.5616,20095,13706,274.3944,0.269075,19050,473,402,71,49,6,9.4695,3218,4742,85,3389,4897,95,-171,-155,-10,5282,7361,142,5133,7524,141,149,-163,1
Summer,0,1,10.13,9,Red,bot,Bang,Evil Geniuses,Aphelios,Nidalee,Syndra,Malphite,Ornn,Sett,2997,1,4,1,6,13,12,0,0,0,0,1,0,1,0,0.2603,0.5005,37851,757.7778,0.350648,270.7908,367.7678,32,0.6406,16,0.3203,12,102,2.042,20939,14550,291.2913,0.285645,19575,486,424,62,48,5,9.7297,3272,2938,89,3347,3102,91,-75,-164,-2,5150,5662,141,4999,5023,139,151,639,2
Summer,0,1,10.13,10,Red,sup,Zeyzal,Evil Geniuses,Nautilus,Nidalee,Syndra,Malphite,Ornn,Sett,2997,1,2,2,7,13,12,0,0,0,0,1,1,0,0,0.2603,0.5005,9351,187.2072,0.0866266,686.5866,1195.5556,88,1.7618,13,0.2603,30,131,2.6226,10383,3994,79.96,0.0784033,9080,40,40,0,0,0,0.8008,2052,2789,12,2070,2652,12,-18,137,0,3347,3686,18,3109,3616,19,238,70,-1
Spring,0,1,10.05,1,Blue,top,Kumo,Evil Geniuses,Aatrox,Rumble,Kalista,Pantheon,Orianna,Miss Fortune,1682,1,1,4,6,20,7,0,0,0,0,0,0,0,0,0.7134,0.9631,7535,268.7872,0.151897,584.9822,454.7087,14,0.4994,5,0.1784,8,23,0.8205,10195,6488,231.4388,0.179123,9850,207,194,13,9,0,7.3841,3158,4414,76,3178,4433,76,-20,-19,0,5367,7738,137,4553,6705,113,814,1033,24
Spring,0,1,10.05,2,Blue,jng,Svenskeren,Evil Geniuses,Lee Sin,Rumble,Kalista,Pantheon,Orianna,Miss Fortune,1682,1,2,1,5,20,7,0,0,0,0,1,0,1,0,0.7134,0.9631,6451,230.1189,0.130045,676.4447,706.4804,16,0.5707,8,0.2854,8,32,1.1415,9604,5897,210.3567,0.162807,7475,142,27,115,59,14,5.0654,2964,3354,58,3389,3148,52,-425,206,6,4578,4979,84,4762,4992,81,-184,-13,3
Spring,0,1,10.05,3,Blue,mid,Jiizuke,Evil Geniuses,Ryze,Rumble,Kalista,Pantheon,Orianna,Miss Fortune,1682,1,7,0,3,20,7,2,1,0,0,1,1,0,0,0.7134,0.9631,15255,544.1736,0.307523,435.8026,395.6718,13,0.4637,5,0.1784,4,23,0.8205,14460,10753,383.5791,0.29687,10650,282,241,41,21,10,10.0595,4024,5254,90,3005,4242,71,1019,1012,19,6162,8157,153,4579,6677,116,1583,1480,37
Spring,0,1,10.05,4,Blue,bot,Bang,Evil Geniuses,Aphelios,Rumble,Kalista,Pantheon,Orianna,Miss Fortune,1682,1,8,1,4,20,7,0,0,0,0,0,0,0,0,0.7134,0.9631,14421,514.4233,0.290711,207.717,331.1415,19,0.6778,6,0.214,9,41,1.4625,12681,8974,320.1189,0.247756,9625,221,203,18,8,5,7.8835,3416,3359,67,3086,3227,76,330,132,-9,5045,5054,113,5001,5944,136,44,-890,-23
Spring,0,1,10.05,5,Blue,sup,Zeyzal,Evil Geniuses,Tahm Kench,Rumble,Kalista,Pantheon,Orianna,Miss Fortune,1682,1,2,1,10,20,7,0,0,0,0,1,0,1,0,0.7134,0.9631,5944,212.0333,0.119824,433.4483,541.5339,34,1.2128,8,0.2854,13,59,2.1046,7816,4109,146.5755,0.113444,5475,31,31,0,0,0,1.1058,2280,2478,11,2110,2233,10,170,245,1,3312,3867,21,3064,3523,17,248,344,4
Summer,0,1,10.11,6,Red,top,Kumo,Evil Geniuses,Aatrox,Varus,Syndra,Trundle,Bard,Karma,2030,1,4,2,8,20,8,0,0,0,0,0,0,0,0,0.5911,0.8276,12944,382.5813,0.157412,1091.4975,1167.133,20,0.5911,4,0.1182,12,36,1.064,13268,8851,261.6059,0.211195,12895,251,221,30,15,9,7.4187,3223,4770,88,2898,4765,71,325,5,17,4877,6782,123,4746,7726,122,131,-944,1
Summer,0,1,10.11,7,Red,jng,Svenskeren,Evil Geniuses,Kindred,Varus,Syndra,Trundle,Bard,Karma,2030,1,2,4,8,20,8,0,0,0,0,0,0,0,0,0.5911,0.8276,13284,392.6305,0.161547,917.0246,507.133,14,0.4138,16,0.4729,9,59,1.7438,11800,7383,218.2167,0.176168,10950,208,46,162,71,40,6.1478,3191,3509,68,3060,3288,70,131,221,-2,5120,5374,98,4781,5435,97,339,-61,1
Summer,0,1,10.11,8,Red,mid,Jiizuke,Evil Geniuses,Corki,Varus,Syndra,Trundle,Bard,Karma,2030,1,10,1,6,20,8,1,0,0,0,1,1,0,0,0.5911,0.8276,30514,901.8916,0.371081,651.5172,595.8916,12,0.3547,1,0.0296,6,20,0.5911,17718,13301,393.133,0.317375,15913,328,292,36,28,8,9.6946,3700,5145,90,2981,4331,80,719,814,10,5922,8014,141,5139,6454,114,783,1560,27
Summer,0,1,10.11,9,Red,bot,Bang,Evil Geniuses,Aphelios,Varus,Syndra,Trundle,Bard,Karma,2030,1,3,0,7,20,8,0,0,0,0,0,0,0,0,0.5911,0.8276,14455,427.2414,0.175787,309.1034,394.9655,21,0.6207,14,0.4138,9,72,2.1281,12570,8153,240.9754,0.194541,11225,263,238,25,15,4,7.7734,2967,2740,75,3419,3425,87,-452,-685,-12,4684,4739,115,5707,5761,139,-1023,-1022,-24
Summer,0,1,10.11,10,Red,sup,Zeyzal,Evil Geniuses,Yuumi,Varus,Syndra,Trundle,Bard,Karma,2030,1,1,1,18,20,8,0,0,0,0,0,0,0,0,0.5911,0.8276,11033,326.0985,0.134172,115.0936,109.5369,38,1.1232,4,0.1182,11,67,1.9803,8638,4221,124.7586,0.100721,7810,26,26,0,0,0,0.7685,1947,2587,11,2069,2284,14,-122,303,-3,3377,3821,18,3307,3652,21,70,169,-3
Spring,0,1,10.03,5,Blue,sup,Zeyzal,Evil Geniuses,Rakan,Elise,Nautilus,Tahm Kench,Qiyana,Yasuo,1803,0,1,3,1,5,22,0,0,0,0,0,0,0,0,0.1664,0.8985,3744,124.5923,0.0801096,291.0483,522.629,54,1.797,16,0.5324,19,82,2.7288,6480,2526,84.0599,0.10635,6275,47,47,0,0,0,1.5641,2019,2518,12,2094,2622,13,-75,-104,-1,3180,3780,27,3261,3870,18,-81,-90,9
Summer,0,1,10.12,6,Red,top,Kumo,Evil Geniuses,Volibear,Varus,Syndra,Ornn,Zilean,Fiddlesticks,1922,0,0,4,1,1,16,0,0,0,0,0,0,0,0,0.0312,0.5307,10614,331.3424,0.204524,767.232,940.8012,14,0.437,3,0.0937,7,26,0.8117,11361,7165,223.6733,0.256898,11285,280,271,9,9,0,8.7409,3158,4580,85,3059,4796,71,99,-216,14,5074,7302,130,4519,7321,110,555,-19,20
Summer,0,1,10.12,7,Red,jng,Svenskeren,Evil Geniuses,Graves,Varus,Syndra,Ornn,Zilean,Fiddlesticks,1922,0,0,4,1,1,16,0,0,0,0,0,0,0,0,0.0312,0.5307,6298,196.6077,0.121358,653.1634,525.9521,6,0.1873,11,0.3434,6,42,1.3111,9940,5744,179.3132,0.205945,9800,225,60,165,114,13,7.0239,2694,2622,52,3480,3315,59,-786,-693,-7,4514,5414,102,5249,5553,94,-735,-139,8
Summer,0,1,10.12,8,Red,mid,Jiizuke,Evil Geniuses,Karma,Varus,Syndra,Ornn,Zilean,Fiddlesticks,1922,0,0,6,1,1,16,0,0,0,0,0,0,0,1,0.0312,0.5307,8614,268.9074,0.165986,471.2903,461.3319,17,0.5307,4,0.1249,9,30,0.9365,9219,5023,156.8054,0.180092,9225,209,205,4,4,0,6.5245,3244,4439,90,3572,4770,86,-328,-331,4,5227,7009,141,5774,7774,144,-547,-765,-3
Summer,0,1,10.12,9,Red,bot,Bang,Evil Geniuses,Ezreal,Varus,Syndra,Ornn,Zilean,Fiddlesticks,1922,0,0,1,1,1,16,0,0,0,0,0,0,0,0,0.0312,0.5307,18520,578.1478,0.356868,372.5182,459.8647,20,0.6243,8,0.2497,11,44,1.3736,11648,7452,232.6327,0.267189,11275,288,272,16,12,4,8.9906,3334,3290,82,3249,3112,88,85,178,-6,5119,5771,138,5638,6044,153,-519,-273,-15
Summer,0,1,10.12,10,Red,sup,Zeyzal,Evil Geniuses,Bard,Varus,Syndra,Ornn,Zilean,Fiddlesticks,1922,0,1,1,0,1,16,0,0,0,0,0,0,0,0,0.0312,0.5307,7850,245.0572,0.151264,327.3153,308.4599,66,2.0604,11,0.3434,14,98,3.0593,6703,2507,78.2622,0.0898762,6500,42,42,0,0,0,1.3111,2009,2526,14,2079,2336,12,-70,190,2,2902,3571,19,3156,3431,21,-254,140,-2
Summer,0,1,10.13,1,Blue,top,Kumo,Evil Geniuses,Wukong,Graves,Ashe,Galio,Thresh,Sett,2617,0,3,7,6,18,26,1,0,0,0,0,0,0,0,0.4127,1.0088,14374,329.5529,0.135579,838.5785,1141.4215,22,0.5044,15,0.3439,13,58,1.3298,15556,9942,227.9404,0.202217,15658,335,325,10,6,0,7.6806,3142,4302,80,3468,4861,99,-326,-559,-19,4891,7289,133,5324,7945,156,-433,-656,-23
Summer,0,1,10.13,2,Blue,jng,Svenskeren,Evil Geniuses,Trundle,Graves,Ashe,Galio,Thresh,Sett,2617,0,0,6,13,18,26,0,0,0,0,1,0,1,0,0.4127,1.0088,8718,199.8777,0.0822305,1252.6634,1273.3894,12,0.2751,23,0.5273,11,78,1.7883,11950,6336,145.2656,0.12887,11325,202,65,137,94,0,4.6313,3168,3720,68,2920,2920,60,248,800,8,4387,5342,97,4982,5385,93,-595,-43,4
Summer,0,1,10.13,3,Blue,mid,Jiizuke,Evil Geniuses,LeBlanc,Graves,Ashe,Galio,Thresh,Sett,2617,0,8,3,7,18,26,2,0,0,0,1,0,1,0,0.4127,1.0088,32053,734.8796,0.302333,673.2518,426.6718,10,0.2293,7,0.1605,3,37,0.8483,21632,16018,367.2449,0.325804,18105,425,374,51,28,21,9.744,3606,4585,92,2931,4205,72,675,380,20,5394,7291,144,4731,6968,125,663,323,19
Summer,0,1,10.13,4,Blue,bot,Bang,Evil Geniuses,Ezreal,Graves,Ashe,Galio,Thresh,Sett,2617,0,7,4,7,18,26,1,1,0,0,1,1,0,0,0.4127,1.0088,46579,1067.9175,0.439346,548.1162,486.603,25,0.5732,19,0.4356,10,101,2.3156,19596,13982,320.5655,0.284392,18900,381,351,30,22,2,8.7352,3585,2980,78,3599,3083,97,-14,-103,-19,6077,5854,145,5763,5705,160,314,149,-15
Summer,0,1,10.13,5,Blue,sup,Zeyzal,Evil Geniuses,Tahm Kench,Graves,Ashe,Galio,Thresh,Sett,2617,0,0,6,6,18,26,0,0,0,0,1,0,1,0,0.4127,1.0088,4295,98.4715,0.0405116,700.4203,1012.9843,55,1.261,8,0.1834,17,95,2.1781,8501,2887,66.1903,0.0587166,8725,33,33,0,0,0,0.7566,2190,2966,14,2155,3090,13,35,-124,1,3205,4303,23,3299,4487,21,-94,-184,2
Spring,0,1,10.05,6,Red,top,Kumo,Evil Geniuses,Aatrox,Ornn,Sett,Aphelios,Rek'Sai,Syndra,2197,1,3,1,4,13,4,0,0,0,0,1,1,0,0,0.355,0.4643,17051,465.6623,0.214198,901.8298,1060.0364,19,0.5189,5,0.1365,6,40,1.0924,14352,9595,262.0391,0.21573,14000,304,272,32,20,0,8.3022,3497,4746,81,2631,4377,62,866,369,19,5639,6978,119,4583,6575,94,1056,403,25
Spring,0,1,10.05,7,Red,jng,Svenskeren,Evil Geniuses,Lee Sin,Ornn,Sett,Aphelios,Rek'Sai,Syndra,2197,1,2,2,9,13,4,0,0,0,0,1,0,1,0,0.355,0.4643,9878,269.7679,0.124089,759.5995,866.518,21,0.5735,14,0.3823,9,61,1.6659,11978,7221,197.2053,0.162352,10500,188,39,149,80,22,5.1343,3110,3088,52,3265,3564,64,-155,-476,-12,4498,4777,66,4665,5201,92,-167,-424,-26
Spring,0,1,10.05,8,Red,mid,Jiizuke,Evil Geniuses,LeBlanc,Ornn,Sett,Aphelios,Rek'Sai,Syndra,2197,1,7,1,1,13,4,2,0,0,0,0,0,0,0,0.355,0.4643,23973,654.7019,0.301153,498.9531,277.6878,8,0.2185,10,0.2731,6,39,1.0651,17521,12764,348.5844,0.286984,16650,359,318,41,29,5,9.8043,3561,5167,86,3464,4498,91,97,669,-5,5878,8159,141,4822,6301,124,1056,1858,17
Spring,0,1,10.05,9,Red,bot,Bang,Evil Geniuses,Ashe,Ornn,Sett,Aphelios,Rek'Sai,Syndra,2197,1,1,0,6,13,4,0,0,0,0,0,0,0,0,0.355,0.4643,24770,676.4679,0.311165,153.6732,389.4948,23,0.6281,11,0.3004,11,66,1.8025,16221,11464,313.0815,0.257754,15125,395,355,40,24,12,10.7874,3367,3297,92,3422,3127,95,-55,170,-3,4819,4918,127,5721,5493,149,-902,-575,-22
Spring,0,1,10.05,10,Red,sup,Zeyzal,Evil Geniuses,Tahm Kench,Ornn,Sett,Aphelios,Rek'Sai,Syndra,2197,1,0,0,9,13,4,0,0,0,0,0,0,0,0,0.355,0.4643,3932,107.3828,0.0493945,225.5257,200.8102,55,1.502,10,0.2731,17,96,2.6218,8190,3433,93.7551,0.0771793,7375,34,34,0,0,0,0.9285,2025,2599,12,2062,2706,11,-37,-107,1,3055,3797,21,3226,3649,20,-171,148,1
Spring,0,1,10.06,6,Red,top,Kumo,Evil Geniuses,Renekton,Kalista,Senna,Syndra,Thresh,Braum,1855,0,2,6,4,9,26,0,0,0,0,0,0,0,0,0.2911,1.1321,9581,309.8976,0.206158,908.5067,642.1779,15,0.4852,2,0.0647,5,19,0.6146,11140,7080,229.0027,0.249901,10055,227,223,4,0,0,7.3423,2710,3702,58,3598,4717,87,-888,-1015,-29,4294,6115,105,5970,7374,127,-1676,-1259,-22
Spring,0,1,10.06,7,Red,jng,Svenskeren,Evil Geniuses,Lee Sin,Kalista,Senna,Syndra,Thresh,Braum,1855,0,1,7,4,9,26,0,0,0,0,0,0,0,1,0.2911,1.1321,3580,115.7951,0.0770323,753.1536,545.9191,15,0.4852,10,0.3235,8,31,1.0027,7321,3261,105.4771,0.115107,7175,111,18,93,86,0,3.5903,2823,2710,50,3705,3208,55,-882,-498,-5,4020,3952,76,5853,5796,100,-1833,-1844,-24
Spring,0,1,10.06,8,Red,mid,Jiizuke,Evil Geniuses,Kayle,Kalista,Senna,Syndra,Thresh,Braum,1855,0,2,4,4,9,26,0,0,0,0,0,0,0,0,0.2911,1.1321,12709,411.0728,0.273465,521.8868,388.6253,12,0.3881,2,0.0647,4,18,0.5822,12155,8095,261.8329,0.285726,10680,288,268,20,17,0,9.3154,3351,4342,81,3445,4412,78,-94,-70,3,5465,7371,142,5235,7278,125,230,93,17
Spring,0,1,10.06,9,Red,bot,Bang,Evil Geniuses,Kai'Sa,Kalista,Senna,Syndra,Thresh,Braum,1855,0,3,5,6,9,26,0,0,0,0,0,0,0,0,0.2911,1.1321,16452,532.1402,0.354004,570.5337,317.628,14,0.4528,4,0.1294,5,28,0.9057,11538,7478,241.876,0.263949,11275,266,248,18,12,0,8.6038,3497,3389,72,3834,2958,79,-337,431,-7,5375,5699,129,5972,5255,140,-597,444,-11
Spring,0,1,10.06,10,Red,sup,Zeyzal,Evil Geniuses,Nautilus,Kalista,Senna,Syndra,Thresh,Braum,1855,0,1,4,7,9,26,0,0,0,0,0,0,0,0,0.2911,1.1321,4152,134.2965,0.0893403,516.4205,829.2615,49,1.5849,12,0.3881,18,72,2.3288,6477,2417,78.1779,0.085317,6400,36,36,0,0,0,1.1644,2155,1724,8,3127,2754,14,-972,-1030,-6,3182,2861,15,4266,4012,18,-1084,-1151,-3
Spring,0,1,10.02,1,Blue,top,Kumo,Evil Geniuses,Sett,Gangplank,Lucian,Rumble,Kayle,Mordekaiser,2181,0,4,8,2,11,23,0,0,0,0,0,0,0,0,0.3026,0.9354,23146,636.7538,0.279477,1059.3122,1324.1541,17,0.4677,5,0.1376,6,41,1.1279,11976,7251,199.4773,0.222771,10800,231,211,20,7,8,6.3549,3213,4960,88,3001,4880,78,212,80,10,4973,7054,123,3992,6446,95,981,608,28
Spring,0,1,10.02,2,Blue,jng,Svenskeren,Evil Geniuses,Elise,Gangplank,Lucian,Rumble,Kayle,Mordekaiser,2181,0,1,5,7,11,23,0,0,0,0,1,1,0,0,0.3026,0.9354,9958,273.9477,0.120238,594.5805,281.9257,36,0.9904,17,0.4677,12,86,2.3659,9241,4516,124.2366,0.138746,9150,143,21,122,76,17,3.934,3146,2880,59,3038,3056,60,108,-176,-1,4543,4442,88,4660,4976,95,-117,-534,-7
Spring,0,1,10.02,3,Blue,mid,Jiizuke,Evil Geniuses,Orianna,Gangplank,Lucian,Rumble,Kayle,Mordekaiser,2181,0,2,5,7,11,23,0,0,0,0,1,0,1,0,0.3026,0.9354,15150,416.7813,0.182929,479.5598,422.8061,16,0.4402,6,0.1651,7,30,0.8253,12941,8216,226.0248,0.252418,13060,301,249,52,33,8,8.2806,3455,5076,89,3325,4840,93,130,236,-4,5886,8483,150,5231,7394,147,655,1089,3
Spring,0,1,10.02,4,Blue,bot,Bang,Evil Geniuses,Xayah,Gangplank,Lucian,Rumble,Kayle,Mordekaiser,2181,0,4,2,4,11,23,1,0,0,0,0,0,0,0,0.3026,0.9354,30515,839.4773,0.368454,462.1458,334.718,22,0.6052,9,0.2476,10,57,1.5681,14497,9772,268.8308,0.300222,14350,342,310,32,28,0,9.4085,3245,3538,88,3337,3165,95,-92,373,-7,4985,5005,123,5875,5054,133,-890,-49,-10
Spring,0,1,10.02,5,Blue,sup,Zeyzal,Evil Geniuses,Rakan,Gangplank,Lucian,Rumble,Kayle,Mordekaiser,2181,0,0,3,8,11,23,0,0,0,0,0,0,0,0,0.3026,0.9354,4050,111.4168,0.0489018,389.5461,828.5007,49,1.348,16,0.4402,16,89,2.4484,7519,2794,76.8638,0.0858426,7300,39,39,0,0,0,1.0729,2048,2495,13,2069,2564,14,-21,-69,-1,3194,3508,20,3743,3813,22,-549,-305,-2
Spring,0,1,10.02,6,Red,top,Kumo,Evil Geniuses,Aatrox,Akali,Rumble,Sett,Riven,Orianna,1881,1,1,2,4,16,6,0,0,0,0,0,0,0,0,0.5104,0.7018,10674,340.4785,0.218931,615.4067,467.4641,16,0.5104,2,0.0638,7,36,1.1483,11374,7261,231.6108,0.177449,10675,240,217,23,7,8,7.6555,2985,4281,72,3261,4412,76,-276,-131,-4,4723,6967,121,4907,7406,129,-184,-439,-8
Spring,0,1,10.02,7,Red,jng,Svenskeren,Evil Geniuses,Jarvan IV,Akali,Rumble,Sett,Riven,Orianna,1881,1,3,3,11,16,6,0,0,0,0,1,0,1,0,0.5104,0.7018,6304,201.0845,0.1293,735.4386,734.5774,9,0.2871,15,0.4785,9,59,1.882,10424,6311,201.3078,0.154232,9425,136,31,105,68,7,4.3381,3101,2226,44,2898,2757,51,203,-531,-7,4746,4330,77,4262,4221,81,484,109,-4
Spring,0,1,10.02,8,Red,mid,Jiizuke,Evil Geniuses,Malzahar,Akali,Rumble,Sett,Riven,Orianna,1881,1,5,0,6,16,6,0,0,0,0,1,1,0,0,0.5104,0.7018,12597,401.8182,0.258373,166.7624,173.8118,10,0.319,2,0.0638,6,29,0.925,16602,12489,398.3732,0.305211,15040,331,274,57,31,13,10.5582,3820,4470,76,3100,4265,79,720,205,-3,6452,7365,128,5009,7026,134,1443,339,-6
Spring,0,1,10.02,9,Red,bot,Bang,Evil Geniuses,Xayah,Akali,Rumble,Sett,Riven,Orianna,1881,1,5,1,7,16,6,1,0,0,0,1,0,1,0,0.5104,0.7018,13313,424.6571,0.273059,300.6699,117.4163,21,0.6699,9,0.2871,10,52,1.6587,14337,10224,326.1244,0.249858,12550,298,265,33,12,13,9.5056,3404,2827,78,3312,2572,58,92,255,20,5209,5478,134,4998,4965,110,211,513,24
Spring,0,1,10.02,10,Red,sup,Zeyzal,Evil Geniuses,Rakan,Akali,Rumble,Sett,Riven,Orianna,1881,1,2,0,12,16,6,0,0,0,0,1,0,1,0,0.5104,0.7018,5867,187.1451,0.120336,218.3094,454.7049,45,1.4354,12,0.3828,16,92,2.9346,8747,4634,147.815,0.11325,7075,39,39,0,0,0,1.244,2263,2343,11,2639,2888,16,-376,-545,-5,3596,3615,21,3658,3659,25,-62,-44,-4
Spring,0,1,10.01,6,Red,top,Kumo,Evil Geniuses,Aatrox,Rumble,Akali,Lucian,Elise,Olaf,1687,0,0,3,0,2,12,0,0,0,0,0,0,0,0,0.0711,0.4979,4170,148.3106,0.104779,553.2662,369.5673,16,0.5691,3,0.1067,7,27,0.9603,8380,4663,165.8447,0.200887,8150,201,184,17,8,0,7.1488,2973,4516,73,3124,4023,79,-151,493,-6,4592,6868,117,5686,6867,126,-1094,1,-9
Spring,0,1,10.01,7,Red,jng,Svenskeren,Evil Geniuses,Gragas,Rumble,Akali,Lucian,Elise,Olaf,1687,0,1,5,0,2,12,0,0,0,0,1,1,0,0,0.0711,0.4979,9190,326.8524,0.230916,755.5661,401.1144,12,0.4268,10,0.3557,11,45,1.6005,7344,3627,128.9982,0.156255,7225,118,16,102,84,0,4.1968,2821,2711,54,2873,3051,60,-52,-340,-6,4481,4076,70,4064,4657,78,417,-581,-8
